TEH, MQ3, MQ4, MQ5, MQ135
OOLONG,557,941,2333,918
OOLONG,543,924,2326,918
OOLONG,564,924,2324,913
OOLONG,581,926,2317,917
OOLONG,552,918,2317,911
OOLONG,560,919,2259,977
OOLONG,556,917,2314,957
OOLONG,555,898,2300,915
OOLONG,558,922,2304,908
OOLONG,552,918,2315,911
OOLONG,556,917,2263,915
OOLONG,556,916,2268,909
OOLONG,554,879,2319,910
OOLONG,555,911,2295,909
OOLONG,556,936,2330,908
OOLONG,529,910,2315,911
OOLONG,536,914,2304,908
OOLONG,552,914,2310,908
OOLONG,545,909,2295,908
OOLONG,552,907,2320,903
OOLONG,570,910,2313,907
OOLONG,556,909,2300,918
OOLONG,553,905,2327,905
OOLONG,554,914,2312,908
OOLONG,554,909,2303,907
OOLONG,554,909,2306,905
OOLONG,550,898,2297,907
OOLONG,554,893,2357,907
OOLONG,553,920,2300,1036
OOLONG,555,888,2303,1036
OOLONG,553,910,2300,1030
OOLONG,555,901,2310,1026
OOLONG,552,894,2309,1023
OOLONG,551,905,2271,973
OOLONG,554,892,2314,971
OOLONG,552,906,2305,968
OOLONG,553,904,2302,949
OOLONG,553,904,2300,921
OOLONG,534,905,2301,923
OOLONG,554,889,2304,951
OOLONG,550,904,2317,901
OOLONG,554,943,2301,905
OOLONG,552,907,2273,893
OOLONG,553,862,2305,903
OOLONG,551,918,2300,905
OOLONG,562,904,2300,905
OOLONG,553,945,2302,899
OOLONG,554,908,2317,919
OOLONG,554,904,2283,939
OOLONG,552,904,2300,940
OOLONG,552,897,2313,954
OOLONG,554,904,2337,956
OOLONG,582,901,2258,972
OOLONG,552,903,2332,975
OOLONG,546,923,2233,986
OOLONG,552,845,2294,989
OOLONG,553,898,2264,991
OOLONG,559,903,2299,976
OOLONG,555,902,2300,1006
OOLONG,554,872,2299,991
OOLONG,556,901,2310,1011
OOLONG,552,902,2266,1009
OOLONG,557,903,2329,1022
OOLONG,557,895,2301,1026
OOLONG,553,902,2311,1035
OOLONG,553,898,2311,1038
OOLONG,552,892,2278,1031
OOLONG,554,899,2230,1023
OOLONG,552,907,2299,1014
OOLONG,553,895,2300,1011
OOLONG,520,895,2301,1011
OOLONG,558,894,2295,1010
OOLONG,552,901,2298,1019
OOLONG,553,899,2294,1004
OOLONG,561,868,2283,1004
OOLONG,559,899,2293,889
OOLONG,558,897,2292,887
OOLONG,555,891,2294,891
OOLONG,555,893,2293,890
OOLONG,553,895,2293,882
OOLONG,547,897,2291,889
OOLONG,558,902,2300,886
OOLONG,567,898,2268,886
OOLONG,553,897,2294,890
OOLONG,559,897,2269,887
OOLONG,553,888,2297,883
OOLONG,552,894,2296,890
OOLONG,555,895,2283,887
OOLONG,554,905,2279,881
OOLONG,554,893,2337,881
OOLONG,552,888,2320,887
OOLONG,563,893,2297,885
OOLONG,554,902,2283,891
OOLONG,558,894,2294,881
OOLONG,557,894,2320,883
OOLONG,553,887,2283,881
OOLONG,552,888,2306,882
OOLONG,552,889,2283,886
OOLONG,553,891,2193,888
OOLONG,554,902,2258,881
OOLONG,553,890,2281,878
OOLONG,555,890,2319,881
OOLONG,554,910,2282,881
OOLONG,556,945,2274,887
OOLONG,553,888,2291,883
OOLONG,550,906,2283,876
OOLONG,559,890,2275,878
OOLONG,552,894,2251,881
OOLONG,559,889,2279,877
OOLONG,545,881,2306,874
OOLONG,553,945,2275,881
OOLONG,553,889,2277,879
OOLONG,552,899,2258,876
OOLONG,549,891,2270,876
OOLONG,553,886,2281,862
OOLONG,561,890,2279,879
OOLONG,553,891,2262,877
OOLONG,552,888,2272,878
OOLONG,553,888,2278,876
OOLONG,553,890,2283,876
OOLONG,565,889,2344,877
OOLONG,557,890,2273,878
OOLONG,552,895,2291,876
OOLONG,555,890,2188,877
OOLONG,557,890,2278,883
OOLONG,553,888,2279,876
OOLONG,553,890,2314,863
OOLONG,555,886,2277,871
OOLONG,550,892,2273,875
OOLONG,557,891,2268,876
OOLONG,566,872,2268,877
OOLONG,535,887,2271,877
OOLONG,555,884,2274,876
OOLONG,557,894,2269,876
OOLONG,555,903,2275,876
OOLONG,554,888,2273,876
OOLONG,555,888,2271,876
OOLONG,554,890,2273,865
OOLONG,554,922,2258,874
OOLONG,554,885,2300,876
OOLONG,555,895,2251,876
OOLONG,583,886,2277,875
OOLONG,558,889,2277,875
OOLONG,552,888,2271,876
OOLONG,553,888,2275,875
OOLONG,553,888,2277,875
OOLONG,554,888,2269,887
OOLONG,558,889,2269,871
OOLONG,560,873,2273,890
OOLONG,559,888,2274,863
OOLONG,562,888,2277,862
OOLONG,551,886,2279,875
OOLONG,562,885,2282,875
OOLONG,551,888,2293,873
OOLONG,569,883,2277,873
OOLONG,573,889,2264,874
OOLONG,554,888,2263,874
OOLONG,559,886,2271,874
OOLONG,556,886,2268,873
OOLONG,558,887,2277,879
OOLONG,554,882,2272,865
OOLONG,557,879,2283,880
OOLONG,557,907,2280,869
OOLONG,557,901,2283,876
OOLONG,545,888,2257,860
OOLONG,542,881,2279,870
OOLONG,583,887,2268,870
OOLONG,563,897,2271,870
OOLONG,557,888,2269,872
OOLONG,558,888,2268,862
OOLONG,557,897,2271,866
OOLONG,558,866,2272,867
OOLONG,537,887,2273,870
OOLONG,566,873,2269,876
OOLONG,565,887,2249,870
OOLONG,541,885,2275,876
OOLONG,559,886,2268,867
OOLONG,562,888,2273,869
OOLONG,558,889,2230,869
OOLONG,556,888,2273,877
OOLONG,557,887,2262,867
OOLONG,558,875,2255,880
OOLONG,557,887,2274,865
OOLONG,577,888,2271,867
OOLONG,549,888,2247,866
OOLONG,559,887,2268,867
OOLONG,530,884,2271,865
OOLONG,558,895,2268,867
OOLONG,582,881,2268,866
OOLONG,557,886,2268,865
OOLONG,581,887,2267,864
OOLONG,559,890,2227,865
OOLONG,557,886,2268,868
OOLONG,558,893,2268,863
OOLONG,550,887,2256,864
OOLONG,551,887,2267,859
OOLONG,557,885,2279,881
OOLONG,557,885,2265,865
OOLONG,558,883,2267,866
OOLONG,553,888,2268,865
HITAM,809,936,1795,787
HITAM,840,935,1788,786
HITAM,840,935,1783,783
HITAM,845,917,1788,783
HITAM,843,931,1788,780
HITAM,810,918,1783,782
HITAM,841,927,1767,780
HITAM,853,930,1785,780
HITAM,832,924,1787,782
HITAM,823,924,1785,780
HITAM,829,923,1783,780
HITAM,842,926,1779,777
HITAM,823,924,1762,775
HITAM,832,921,1779,778
HITAM,831,922,1783,777
HITAM,808,920,1778,779
HITAM,823,922,1770,767
HITAM,823,955,1779,776
HITAM,820,888,1767,774
HITAM,815,917,1766,775
HITAM,819,931,1759,774
HITAM,819,920,1768,774
HITAM,822,923,1756,807
HITAM,823,915,1769,773
HITAM,818,872,1771,766
HITAM,815,885,1781,771
HITAM,814,935,1783,773
HITAM,812,914,1782,770
HITAM,830,915,1767,771
HITAM,804,911,1763,769
HITAM,808,906,1764,764
HITAM,803,904,1756,765
HITAM,808,905,1757,766
HITAM,803,904,1755,765
HITAM,806,901,1741,759
HITAM,803,895,1739,761
HITAM,805,900,1731,755
HITAM,808,899,1766,757
HITAM,801,893,1751,755
HITAM,798,897,1749,755
HITAM,805,904,1783,759
HITAM,806,904,1762,738
HITAM,805,932,1755,760
HITAM,807,907,1753,762
HITAM,803,913,1767,745
HITAM,804,904,1751,755
HITAM,803,902,1749,763
HITAM,804,895,1750,757
HITAM,808,904,1753,760
HITAM,805,901,1747,760
HITAM,811,904,1753,755
HITAM,803,899,1785,755
HITAM,798,904,1753,748
HITAM,805,931,1758,757
HITAM,801,923,1751,757
HITAM,797,899,1735,748
HITAM,797,894,1730,750
HITAM,795,887,1735,748
HITAM,791,891,1742,748
HITAM,794,899,1755,748
HITAM,792,901,1737,762
HITAM,802,882,1756,754
HITAM,791,889,1734,748
HITAM,814,891,1739,747
HITAM,808,891,1731,748
HITAM,792,895,1731,751
HITAM,790,889,1778,742
HITAM,791,921,1733,747
HITAM,792,890,1779,748
HITAM,791,889,1735,738
HITAM,792,888,1731,746
HITAM,801,875,1737,748
HITAM,779,885,1738,743
HITAM,789,887,1679,762
HITAM,790,887,1765,740
HITAM,787,882,1733,742
HITAM,790,861,1743,743
HITAM,787,839,1741,743
HITAM,786,883,1713,739
HITAM,767,884,1738,740
HITAM,772,885,1728,737
HITAM,787,879,1727,738
HITAM,785,879,1708,739
HITAM,786,877,1724,739
HITAM,783,882,1713,742
HITAM,785,885,1723,739
HITAM,786,883,1757,732
HITAM,785,883,1735,741
HITAM,784,882,1726,747
HITAM,781,874,1717,730
HITAM,786,857,1724,733
HITAM,793,908,1717,718
HITAM,779,874,1710,732
HITAM,780,870,1724,734
HITAM,787,881,1730,738
HITAM,782,934,1729,738
HITAM,804,854,1736,738
HITAM,777,878,1734,738
HITAM,781,881,1731,733
HITAM,783,883,1730,737
HITAM,783,883,1735,734
HITAM,798,887,1729,738
HITAM,797,879,1734,732
HITAM,785,873,1730,734
HITAM,783,877,1724,736
HITAM,788,878,1733,721
HITAM,779,879,1725,733
HITAM,778,874,1733,739
HITAM,793,877,1736,734
HITAM,780,874,1736,733
HITAM,757,876,1729,732
HITAM,776,872,1727,733
HITAM,783,907,1729,736
HITAM,781,874,1723,721
HITAM,781,838,1725,694
HITAM,781,873,1726,727
HITAM,781,861,1724,747
HITAM,783,891,1724,730
HITAM,790,872,1730,730
HITAM,778,877,1735,730
HITAM,779,857,1726,729
HITAM,759,871,1723,729
HITAM,777,857,1724,729
HITAM,791,872,1726,729
HITAM,781,861,1724,727
HITAM,780,872,1718,729
HITAM,779,871,1724,723
HITAM,770,870,1724,722
HITAM,770,872,1721,702
HITAM,779,920,1724,731
HITAM,777,877,1724,727
HITAM,777,872,1761,721
HITAM,779,870,1709,726
HITAM,776,872,1722,720
HITAM,776,853,1703,719
HITAM,775,858,1693,725
HITAM,769,857,1697,717
HITAM,773,855,1693,717
HITAM,771,855,1692,721
HITAM,771,849,1681,713
HITAM,770,854,1690,713
HITAM,773,863,1689,716
HITAM,772,858,1730,716
HITAM,774,866,1733,717
HITAM,781,870,1725,716
HITAM,776,863,1706,716
HITAM,775,866,1711,719
HITAM,779,857,1708,717
HITAM,776,862,1722,714
HITAM,776,866,1767,716
HITAM,776,865,1711,718
HITAM,776,865,1712,718
HITAM,775,865,1713,716
HITAM,766,866,1706,716
HITAM,766,868,1713,716
HITAM,772,877,1719,716
HITAM,774,863,1715,716
HITAM,775,860,1709,716
HITAM,779,864,1712,715
HITAM,775,869,1721,716
HITAM,776,861,1713,716
HITAM,775,869,1713,716
HITAM,776,863,1715,716
HITAM,776,863,1715,716
HITAM,777,855,1722,716
HITAM,778,904,1722,732
HITAM,763,865,1723,719
HITAM,777,865,1724,716
HITAM,776,846,1724,717
HITAM,778,856,1692,716
HITAM,776,863,1756,735
HITAM,777,865,1692,726
HITAM,776,867,1769,731
HITAM,779,863,1731,716
HITAM,777,861,1724,705
HITAM,777,867,1670,716
HITAM,776,868,1724,715
HITAM,779,861,1711,715
HITAM,776,865,1722,714
HITAM,795,857,1713,716
HITAM,779,859,1717,716
HITAM,776,848,1722,713
HITAM,775,861,1718,711
HITAM,775,857,1722,714
HITAM,764,857,1715,714
HITAM,776,857,1723,714
HITAM,769,853,1710,725
HITAM,776,856,1721,716
HITAM,802,855,1722,711
HITAM,776,861,1733,711
HITAM,775,853,1719,713
HITAM,774,849,1723,712
HITAM,779,841,1729,707
HITAM,774,851,1713,685
HITAM,773,850,1726,716
HITAM,776,859,1720,705
HITAM,776,854,1714,707
HITAM,773,850,1719,707
HITAM,776,835,1672,706
HITAM,775,852,1755,711
HITAM,775,819,1718,716
HITAM,761,849,1718,709
HITAM,776,850,1720,710
HITAM,757,850,1712,707
HITAM,773,854,1710,701
HITAM,775,813,1670,705
HITAM,776,853,1724,703
HITAM,775,852,1721,704
HITAM,776,846,1722,703
HITAM,775,846,1707,703
HITAM,774,847,1706,701
HITAM,771,846,1714,689
HITAM,774,849,1719,705
HITAM,774,843,1714,703
HITAM,776,845,1724,700
HITAM,771,817,1722,701
HITAM,773,843,1739,699
HITAM,775,845,1735,684
HITAM,773,841,1749,684
HITAM,775,849,1717,702
HITAM,773,846,1719,701
HITAM,776,845,1713,700
HITAM,765,843,1718,697
HITAM,751,846,1706,702
HITAM,773,849,1712,691
HITAM,776,841,1715,687
HITAM,771,803,1717,718
HITAM,774,840,1719,702
HITAM,769,842,1746,699
HITAM,771,851,1743,691
HITAM,771,842,1712,717
HITAM,772,823,1715,678
HITAM,772,840,1713,697
HITAM,769,835,1723,701
HITAM,757,841,1711,695
HITAM,754,840,1719,693
HITAM,766,839,1725,687
HITAM,773,840,1722,690
HITAM,770,803,1706,714
HITAM,770,821,1711,691
HITAM,785,840,1715,689
HITAM,785,837,1708,695
HITAM,774,839,1711,691
HITAM,770,786,1714,693
HITAM,776,836,1714,689
HITAM,766,808,1711,689
HITAM,762,867,1714,713
HITAM,766,834,1708,679
HITAM,765,833,1681,687
HITAM,763,831,1704,689
HITAM,765,830,1704,689
HITAM,763,833,1702,684
HITAM,766,829,1708,687
HITAM,786,831,1719,686
HITAM,741,839,1702,689
HITAM,766,831,1702,682
HITAM,765,831,1704,716
HITAM,758,819,1705,668
HITAM,764,793,1705,679
HITAM,763,833,1701,684
HITAM,765,849,1699,684
HITAM,761,837,1694,708
HITAM,762,808,1737,710
HITAM,764,829,1721,672
HITAM,761,832,1703,684
HIJAU,589,805,1733,618
HIJAU,627,802,1731,588
HIJAU,626,810,1724,587
HIJAU,618,799,1724,583
HIJAU,618,799,1724,587
HIJAU,619,798,1724,594
HIJAU,617,797,1747,586
HIJAU,616,799,1746,595
HIJAU,616,799,1725,585
HIJAU,616,767,1723,609
HIJAU,616,795,1731,588
HIJAU,616,792,1720,598
HIJAU,606,793,1744,595
HIJAU,617,795,1724,598
HIJAU,613,783,1723,570
HIJAU,621,792,1723,598
HIJAU,616,790,1722,591
HIJAU,584,785,1719,594
HIJAU,616,790,1725,605
HIJAU,618,770,1724,605
HIJAU,607,786,1722,678
HIJAU,633,791,1721,672
HIJAU,611,750,1722,684
HIJAU,615,783,1706,751
HIJAU,609,776,1724,825
HIJAU,611,789,1722,866
HIJAU,609,777,1718,862
HIJAU,610,788,1721,865
HIJAU,610,779,1721,863
HIJAU,584,782,1715,844
HIJAU,615,776,1717,859
HIJAU,614,779,1727,854
HIJAU,606,778,1715,844
HIJAU,622,776,1715,796
HIJAU,603,779,1771,802
HIJAU,606,778,1714,799
HIJAU,613,779,1719,796
HIJAU,605,778,1714,780
HIJAU,613,787,1768,784
HIJAU,599,779,1725,802
HIJAU,603,776,1757,802
HIJAU,602,778,1756,802
HIJAU,609,776,1715,802
HIJAU,605,775,1713,803
HIJAU,600,771,1717,774
HIJAU,601,776,1715,782
HIJAU,601,771,1724,785
HIJAU,599,773,1713,769
HIJAU,595,772,1711,745
HIJAU,600,795,1713,762
HIJAU,594,775,1699,762
HIJAU,598,767,1719,727
HIJAU,594,770,1708,696
HIJAU,597,766,1725,694
HIJAU,598,792,1730,691
HIJAU,600,778,1699,690
HIJAU,601,786,1694,690
HIJAU,599,767,1711,685
HIJAU,599,791,1709,695
HIJAU,598,768,1711,686
HIJAU,609,766,1717,686
HIJAU,595,783,1720,688
HIJAU,596,767,1707,688
HIJAU,595,766,1679,687
HIJAU,600,762,1712,686
HIJAU,594,758,1715,685
HIJAU,598,766,1700,687
HIJAU,597,791,1709,685
HIJAU,594,773,1701,685
HIJAU,595,760,1710,681
HIJAU,594,710,1708,701
HIJAU,601,814,1707,674
HIJAU,598,760,1707,684
HIJAU,592,757,1709,684
HIJAU,599,758,1707,683
HIJAU,612,750,1707,683
HIJAU,613,760,1707,683
HIJAU,596,759,1707,684
HIJAU,598,760,1705,683
HIJAU,585,755,1701,683
HIJAU,591,755,1709,682
HIJAU,594,763,1708,683
HIJAU,596,758,1703,680
HIJAU,587,729,1705,674
HIJAU,591,754,1766,681
HIJAU,585,744,1715,683
HIJAU,588,753,1757,681
HIJAU,591,750,1708,680
HIJAU,587,758,1759,678
HIJAU,591,735,1714,826
HIJAU,603,765,1717,832
HIJAU,593,753,1671,654
HIJAU,590,751,1683,653
HIJAU,593,750,1702,674
HIJAU,591,751,1697,694
HIJAU,590,749,1683,723
HIJAU,571,754,1708,742
HIJAU,585,751,1708,733
HIJAU,581,746,1709,738
HIJAU,612,746,1702,743
HIJAU,601,744,1724,732
HIJAU,602,747,1701,732
HIJAU,590,744,1694,738
HIJAU,584,746,1720,730
HIJAU,590,755,1701,737
HIJAU,571,745,1698,738
HIJAU,590,762,1702,731
HIJAU,590,777,1698,722
HIJAU,585,744,1700,668
HIJAU,590,744,1715,630
HIJAU,588,745,1730,826
HIJAU,589,806,1683,831
HIJAU,584,768,1709,825
HIJAU,586,744,1722,831
HIJAU,589,744,1659,668
HIJAU,615,744,1702,667
HIJAU,588,746,1703,668
HIJAU,589,762,1695,669
HIJAU,590,738,1709,667
HIJAU,606,743,1692,667
HIJAU,604,742,1675,666
HIJAU,591,747,1686,666
HIJAU,584,738,1697,667
HIJAU,587,742,1703,667
HIJAU,587,734,1697,671
HIJAU,593,741,1715,666
HIJAU,587,744,1730,666
HIJAU,602,738,1695,659
HIJAU,584,739,1709,663
HIJAU,583,755,1694,665
HIJAU,586,739,1698,663
HIJAU,579,739,1692,659
HIJAU,587,742,1702,662
HIJAU,584,734,1703,665
HIJAU,571,749,1702,666
HIJAU,615,719,1679,812
HIJAU,586,746,1702,738
HIJAU,586,741,1708,675
HIJAU,595,735,1697,657
HIJAU,585,735,1698,659
HIJAU,588,726,1698,659
HIJAU,599,739,1699,663
HIJAU,586,777,1692,659
HIJAU,586,734,1686,659
HIJAU,586,776,1699,659
HIJAU,591,733,1745,659
HIJAU,586,739,1706,669
HIJAU,585,731,1756,654
HIJAU,586,731,1694,659
HIJAU,586,737,1697,657
HIJAU,584,746,1695,658
HIJAU,585,730,1694,669
HIJAU,586,730,1692,655
HIJAU,557,747,1697,659
HIJAU,607,733,1696,654
HIJAU,586,737,1697,654
HIJAU,586,731,1677,653
HIJAU,585,680,1706,654
HIJAU,585,744,1693,654
HIJAU,583,731,1704,654
HIJAU,584,722,1699,652
HIJAU,584,727,1706,667
HIJAU,584,725,1695,652
HIJAU,584,730,1692,654
HIJAU,559,728,1694,649
HIJAU,562,727,1693,652
HIJAU,584,776,1700,653
HIJAU,581,725,1708,652
HIJAU,584,739,1693,652
HIJAU,584,725,1693,652
HIJAU,594,689,1693,652
HIJAU,585,728,1692,656
HIJAU,585,724,1692,649
HIJAU,584,723,1691,651
HIJAU,585,727,1697,652
HIJAU,587,719,1699,651
HIJAU,590,724,1692,650
HIJAU,589,726,1711,652
HIJAU,584,729,1683,651
HIJAU,577,729,1689,651
HIJAU,584,723,1692,650
HIJAU,583,725,1692,651
HIJAU,584,724,1697,648
HIJAU,584,712,1692,646
HIJAU,587,725,1695,651
HIJAU,585,718,1692,647
HIJAU,584,717,1692,646
HIJAU,588,719,1692,647
HIJAU,584,724,1692,569
HIJAU,585,722,1692,482
HIJAU,584,724,1693,457
HIJAU,585,723,1696,645
HIJAU,584,717,1686,720
HIJAU,584,719,1692,707
HIJAU,584,727,1715,704
HIJAU,584,726,1695,711
HIJAU,585,718,1663,702
HIJAU,584,717,1692,700
HIJAU,587,723,1692,700
HIJAU,587,718,1692,714
HIJAU,585,712,1692,689
HIJAU,584,719,1682,697
HIJAU,584,716,1692,707
HIJAU,587,712,1701,701
HIJAU,554,719,1697,702
HIJAU,569,719,1692,694
HIJAU,584,667,1681,698
HIJAU,584,721,1670,690
HIJAU,588,717,1693,683
HIJAU,582,729,1692,684
HIJAU,584,713,1691,684
HIJAU,584,717,1692,684
HIJAU,584,715,1693,679
HIJAU,591,724,1694,689
HIJAU,584,713,1682,684
HIJAU,584,715,1685,683
HIJAU,583,713,1709,681
HIJAU,584,775,1692,691
HIJAU,579,715,1692,681
HIJAU,584,765,1693,684
HIJAU,586,705,1756,686
HIJAU,584,733,1670,684
HIJAU,584,715,1689,684
HIJAU,587,709,1653,685
HIJAU,584,717,1695,683
HIJAU,585,717,1692,684
HIJAU,584,712,1681,679
HIJAU,570,698,1689,683
HIJAU,568,703,1683,681
HIJAU,588,712,1687,666
HIJAU,594,712,1691,681
HIJAU,584,714,1703,691
HIJAU,584,714,1703,691

